"Performed At",Exercise,Exercise#,Set#,IsPR,String,Weight,Reps,RPE
"2014-06-21 08:00","Bulgarian Split Squat",1,4,0,"105 lbs x 3 reps @ 8","105 lbs",3,8
"2014-06-21 08:00","Bulgarian Split Squat",1,5,0,"115 lbs x 3 reps @ 8.5","115 lbs",3,9
"2014-06-21 08:00","Bulgarian Split Squat",1,6,1,"125 lbs x 3 reps @ 9","125 lbs",3,9
"2014-06-21 08:00","Bulgarian Split Squat",1,7,0,"120 lbs x 3 reps @ 9","120 lbs",3,9
"2014-06-21 08:00","Bench Press",2,1,0,"45 lbs x 3 reps","45 lbs",3,
"2014-06-21 08:00","Bench Press",2,2,0,"85 lbs x 3 reps","85 lbs",3,
"2014-06-21 08:00","Bench Press",2,3,0,"135 lbs x 3 reps @ 7","135 lbs",3,7
"2014-06-21 08:00","Bench Press",2,4,0,"155 lbs x 3 reps @ 7.5","155 lbs",3,8
"2014-06-21 08:00","Bench Press",2,5,0,"185 lbs x 3 reps @ 9.5","185 lbs",3,10
"2014-06-21 08:00","Bench Press",2,6,0,"175 lbs x 3 reps @ 8.5","175 lbs",3,9
"2014-06-21 08:00","Bench Press",2,7,0,"175 lbs x 3 reps @ 8.5","175 lbs",3,9
"2014-06-21 08:00","Bench Press",2,8,0,"175 lbs x 3 reps @ 8.5","175 lbs",3,9
"2014-06-21 08:00","Bench Press",2,9,0,"175 lbs x 3 reps @ 9","175 lbs",3,9
"2014-06-21 08:00",Chin-Up,3,1,0,"5 reps",,5,
"2014-06-21 08:00",Chin-Up,3,2,0,"5 reps",,5,
"2014-06-21 08:00",Chin-Up,3,3,0,"5 reps",,5,
"2014-06-21 08:00",Chin-Up,3,4,0,"5 reps",,5,
"2014-06-21 08:00","Kettlebell Snatch",4,1,0,"35 lbs x 7 reps","35 lbs",7,
"2014-06-21 08:00","Kettlebell Snatch",4,2,0,"35 lbs x 7 reps","35 lbs",7,
"2014-06-21 08:00","Kettlebell Snatch",4,3,0,"35 lbs x 7 reps","35 lbs",7,
"2014-06-21 08:00","Kettlebell Snatch",4,4,0,"35 lbs x 7 reps","35 lbs",7,
"2014-06-21 08:00","Kettlebell Snatch",4,5,0,"35 lbs x 7 reps","35 lbs",7,
"2014-06-21 08:00","Kettlebell Snatch",4,6,0,"35 lbs x 7 reps","35 lbs",7,
"2014-06-21 08:00","Kettlebell Snatch",4,7,0,"35 lbs x 7 reps","35 lbs",7,
"2014-06-21 08:00","Kettlebell Snatch",4,8,0,"35 lbs x 7 reps","35 lbs",7,
"2014-06-21 08:00","Kettlebell Snatch",4,9,0,"35 lbs x 7 reps","35 lbs",7,
"2014-06-21 08:00","Kettlebell Snatch",4,10,0,"35 lbs x 7 reps","35 lbs",7,
"2014-06-21 08:00","Kettlebell Snatch",4,11,0,"35 lbs x 7 reps","35 lbs",7,
"2014-06-21 08:00","Kettlebell Snatch",4,12,0,"35 lbs x 7 reps","35 lbs",7,
"Performed At",Exercise,Exercise#,Set#,IsPR,String,Weight,Reps,RPE
"2014-06-23 08:00",Deadlift,1,1,0,"135 lbs x 5 reps","135 lbs",5,
"2014-06-23 08:00",Deadlift,1,2,0,"185 lbs x 5 reps","185 lbs",5,
"2014-06-23 08:00",Deadlift,1,3,0,"225 lbs x 5 reps @ 7","225 lbs",5,7
"2014-06-23 08:00",Deadlift,1,4,0,"255 lbs x 5 reps @ 9","255 lbs",5,9
"2014-06-23 08:00",Deadlift,1,5,0,"240 lbs x 5 reps @ 8","240 lbs",5,8
"2014-06-23 08:00",Deadlift,1,6,0,"240 lbs x 5 reps @ 8","240 lbs",5,8
"2014-06-23 08:00",Deadlift,1,7,0,"240 lbs x 5 reps @ 9","240 lbs",5,9
"2014-06-23 08:00","Overhead Press",2,1,0,"45 lbs x 3 reps","45 lbs",3,
"2014-06-23 08:00","Overhead Press",2,2,0,"75 lbs x 3 reps","75 lbs",3,
"2014-06-23 08:00","Overhead Press",2,3,0,"95 lbs x 3 reps @ 7","95 lbs",3,7
"2014-06-23 08:00","Overhead Press",2,4,0,"105 lbs x 3 reps @ 7","105 lbs",3,7
"2014-06-23 08:00","Overhead Press",2,5,0,"120 lbs x 3 reps @ 8.5","120 lbs",3,9
"2014-06-23 08:00","Overhead Press",2,6,0,"125 lbs x 3 reps @ 9.5","125 lbs",3,10
"2014-06-23 08:00","Overhead Press",2,7,0,"115 lbs x 3 reps @ 8","115 lbs",3,8
"2014-06-23 08:00","Overhead Press",2,8,0,"115 lbs x 3 reps @ 8.5","115 lbs",3,9
"2014-06-23 08:00","Overhead Press",2,9,0,"115 lbs x 3 reps @ 8","115 lbs",3,8
"2014-06-23 08:00","Overhead Press",2,10,0,"115 lbs x 3 reps @ 9.5","115 lbs",3,10
"2014-06-23 08:00",Chin-Up,3,1,0,"5 reps",,5,
"2014-06-23 08:00",Chin-Up,3,2,0,"5 reps",,5,
"2014-06-23 08:00",Chin-Up,3,3,0,"5 reps",,5,
"2014-06-23 08:00","Calf Raise",4,1,1,"180 lbs x 20 reps","180 lbs",20,
"2014-06-23 08:00","Calf Raise",4,2,0,"180 lbs x 12 reps","180 lbs",12,
"2014-06-23 08:00","Calf Raise",4,3,0,"180 lbs x 10 reps","180 lbs",10,
"2014-06-23 08:00","Calf Raise",4,4,1,"180 lbs x 10 reps","180 lbs",10,
"2014-06-23 08:00",Curl,5,1,0,"40 lbs x 16 reps","40 lbs",16,
"2014-06-23 08:00",Curl,5,2,0,"40 lbs x 10 reps","40 lbs",10,
"2014-06-23 08:00",Curl,5,3,0,"40 lbs x 8 reps","40 lbs",8,
"2014-06-23 08:00",Curl,5,4,0,"40 lbs x 6 reps","40 lbs",6,
"Performed At",Exercise,Exercise#,Set#,IsPR,String,Weight,Reps
"2014-06-25 08:00","Kettlebell Snatch",1,1,0,"35 lbs x 7 reps","35 lbs",7
"2014-06-25 08:00","Kettlebell Snatch",1,2,0,"35 lbs x 7 reps","35 lbs",7
"2014-06-25 08:00","Kettlebell Snatch",1,3,0,"35 lbs x 7 reps","35 lbs",7
"2014-06-25 08:00","Kettlebell Snatch",1,4,0,"35 lbs x 7 reps","35 lbs",7
"2014-06-25 08:00","Kettlebell Snatch",1,5,0,"35 lbs x 7 reps","35 lbs",7
"2014-06-25 08:00","Kettlebell Snatch",1,6,0,"35 lbs x 7 reps","35 lbs",7
"2014-06-25 08:00","Kettlebell Snatch",1,7,0,"35 lbs x 7 reps","35 lbs",7
"2014-06-25 08:00","Kettlebell Snatch",1,8,0,"35 lbs x 7 reps","35 lbs",7
"2014-06-25 08:00","Kettlebell Snatch",1,9,0,"35 lbs x 7 reps","35 lbs",7
"2014-06-25 08:00","Kettlebell Snatch",1,10,0,"35 lbs x 7 reps","35 lbs",7
"2014-06-25 08:00","Kettlebell Snatch",1,11,0,"35 lbs x 7 reps","35 lbs",7
"2014-06-25 08:00","Kettlebell Snatch",1,12,0,"35 lbs x 7 reps","35 lbs",7
"2014-06-25 08:00","Kettlebell Snatch",1,13,0,"35 lbs x 7 reps","35 lbs",7
"2014-06-25 08:00","Kettlebell Snatch",1,14,0,"35 lbs x 7 reps","35 lbs",7
"Performed At",Exercise,Exercise#,Set#,IsPR,String,Weight,Reps,RPE
"2014-06-28 08:00","Bulgarian Split Squat",1,1,0,"45 lbs x 5 reps","45 lbs",5,
"2014-06-28 08:00","Bulgarian Split Squat",1,2,0,"65 lbs x 5 reps","65 lbs",5,
"2014-06-28 08:00","Bulgarian Split Squat",1,3,0,"95 lbs x 5 reps @ 8.5","95 lbs",5,9
"2014-06-28 08:00","Bulgarian Split Squat",1,4,0,"105 lbs x 5 reps @ 8.5","105 lbs",5,9
"2014-06-28 08:00","Overhead Press",2,1,0,"45 lbs x 3 reps","45 lbs",3,
"2014-06-28 08:00","Overhead Press",2,2,0,"65 lbs x 3 reps","65 lbs",3,
"2014-06-28 08:00","Overhead Press",2,3,0,"95 lbs x 3 reps @ 7.5","95 lbs",3,8
"2014-06-28 08:00","Overhead Press",2,4,0,"105 lbs x 3 reps @ 8","105 lbs",3,8
"2014-06-28 08:00","Overhead Press",2,5,0,"115 lbs x 3 reps @ 8.5","115 lbs",3,9
"2014-06-28 08:00","Overhead Press",2,6,0,"120 lbs x 3 reps @ 10","120 lbs",3,10
"2014-06-28 08:00",Chin-Up,3,1,0,"5 reps",,5,
"2014-06-28 08:00",Chin-Up,3,2,0,"5 reps",,5,
"2014-06-28 08:00",Chin-Up,3,3,0,"5 reps",,5,
"Performed At",Exercise,Exercise#,Set#,IsPR,String,Weight,Reps,RPE
"2014-06-30 08:00",Deadlift,1,1,0,"135 lbs x 3 reps","135 lbs",3,
"2014-06-30 08:00",Deadlift,1,2,0,"185 lbs x 3 reps","185 lbs",3,
"2014-06-30 08:00",Deadlift,1,3,0,"225 lbs x 3 reps @ 7","225 lbs",3,7
"2014-06-30 08:00",Deadlift,1,4,0,"275 lbs x 3 reps @ 8","275 lbs",3,8
"2014-06-30 08:00",Deadlift,1,5,0,"295 lbs x 3 reps @ 9","295 lbs",3,9
"2014-06-30 08:00",Deadlift,1,6,0,"275 lbs x 3 reps @ 8","275 lbs",3,8
"2014-06-30 08:00",Deadlift,1,7,0,"275 lbs x 3 reps @ 8.5","275 lbs",3,9
"2014-06-30 08:00","Bench Press",2,1,0,"45 lbs x 5 reps","45 lbs",5,
"2014-06-30 08:00","Bench Press",2,2,0,"95 lbs x 5 reps","95 lbs",5,
"2014-06-30 08:00","Bench Press",2,3,0,"135 lbs x 5 reps @ 7","135 lbs",5,7
"2014-06-30 08:00","Bench Press",2,4,0,"155 lbs x 5 reps @ 7","155 lbs",5,7
"2014-06-30 08:00","Bench Press",2,5,0,"175 lbs x 5 reps @ 8.5","175 lbs",5,9
